listing_id,listing_date,city,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,yr_built,waterfront
3907,2024-01-20,Renton,"$198,000",2.0,1.5,1150,4250.0,1.0,,1986.0,0
3220,2024-05-10,Seattle,"$506,000",,1.5,1930,4420.0,1.5,4.0,1992.0,0
3125,2024-05-10,,"$501,000",3.0,2.5,1660,11190.0,1.0,,1985.0,0
1604,2024-06-19,Kirkland,"$763,000",3.0,2.0,2640,5270.0,1.5,3.0,2015.0,0
1563,2024-02-02,Kirkland,"$502,000",,1.5,1870,8080.0,1.0,3.0,1978.0,0
3269,2024-06-19,kirkland,"$402,000",1.0,1.0,1610,,2.0,3.0,1904.0,0
2403,2024-02-15,Renton,"$306,000",3.0,2.0,1410,2150.0,2.0,3.0,2017.0,0
3068,2024-06-06,Renton,"$376,000",3.0,2.5,1740,6570.0,1.5,3.0,1954.0,0
1733,2024-04-04,Seattle,"$254,000",1.0,1.0,1090,28020.0,1.5,3.0,1925.0,0
1728,2024-06-12,Seattle,"$466,000",4.0,3.0,1910,18010.0,1.0,4.0,1960.0,0
1771,2024-03-19,Seattle,"$365,000",3.0,2.5,1450,8490.0,1.0,3.0,1992.0,0
3206,2024-01-05,Redmond,"$374,000",3.0,,1550,5080.0,1.0,1.0,1933.0,0
1562,2024-03-04,Seattle,"$754,000",5.0,2.5,3150,5150.0,1.0,4.0,1960.0,0
3166,2024-06-10,Seattle,"$321,000",2.0,2.5,1360,5240.0,1.0,5.0,1910.0,0
1415,2024-05-29,Seattle,"$491,000",3.0,2.5,2020,9740.0,2.0,5.0,1987.0,0
2797,2024-04-26,Redmond,"$402,000",2.0,1.0,1700,7460.0,2.0,3.0,,0
1641,2024-03-12,Kirkland,"$488,000",2.0,1.5,1850,3570.0,1.0,4.0,1988.0,0
3926,2024-06-21,Redmond,"$753,000",,3.0,2830,8900.0,1.0,3.0,1956.0,0
2996,2024-06-05,Kirkland,"$814,000",3.0,2.5,3210,6720.0,1.0,4.0,1959.0,0
3697,2024-02-05,KIRKLAND,"$1,051,000",6.0,3.0,3720,2830.0,3.0,4.0,,0
3781,2024-05-02,Seattle,"$1,306,000",7.0,4.5,4670,2570.0,1.0,3.0,1996.0,1
1588,2024-04-02,Seattle,"$526,000",3.0,2.0,1470,2810.0,2.0,3.0,2009.0,1
3398,2024-05-13,Seattle,"$522,000",2.0,,2180,,1.0,4.0,1947.0,0
3042,2024-04-09,KIRKLAND,"$479,000",3.0,3.0,1630,9310.0,1.5,5.0,2007.0,0
1181,2024-04-23,Renton,"$502,000",3.0,2.0,2500,5490.0,1.0,4.0,2004.0,0
3833,2024-02-03,Bellevue,"$661,000",3.0,1.5,1990,4370.0,1.5,3.0,1931.0,0
2620,2024-05-17,Seattle ,"$358,000",2.0,2.0,1490,12670.0,3.0,4.0,,0
2458,2024-06-06,Bellevue,"$595,000",2.0,2.0,2030,6690.0,1.0,4.0,1951.0,0
3481,2024-05-16,Bellevue,"$790,000",3.0,2.0,2630,7930.0,1.0,3.0,2001.0,0
1960,2024-05-26,Bellevue,"$343,000",1.0,1.0,840,5120.0,1.0,5.0,2003.0,0
1670,2024-02-21,,"$413,000",2.0,2.0,1170,10230.0,2.0,,1995.0,0
1225,2024-03-19,Seattle,"$447,000",2.0,2.5,1730,4730.0,3.0,5.0,1912.0,0
3808,2024-05-25,Kirkland,"$674,000",4.0,3.5,"2,480 sqft",8920.0,1.0,4.0,1932.0,0
3335,2024-01-04,Bellevue,"$283,000",1.0,1.0,940,3060.0,2.0,4.0,1934.0,0
3486,2024-01-23,Bellevue,"$518,000",3.0,2.5,1740,6340.0,1.0,3.0,2008.0,0
2206,2024-02-28,Seattle,"$338,000",4.0,3.0,1340,,1.0,3.0,1979.0,0
